app,category,rating,reviews,size,installs,type,price,content_rating,genres,last_updated,current_ver,android_ver
"C Programming - Learn Code, Theory & Discuss",Family,4.5,2751,7.0M,"100,000+",Free,0,Everyone,Education,"June 15, 2018",3.2.8,4.0.3 And Up
Expert C Programming - Learn C Coding Easily,Family,4.4,77,6.9M,"5,000+",Free,0,Everyone,Education,"January 5, 2018",1.1.9,5.0 And Up
Codeeazy - C/C++/Java,Family,4.6,130,2.2M,"10,000+",Free,0,Everyone,Education,"April 4, 2016",1.0.3,4.0.3 And Up
Batmobile™ R/C Controller,Family,3.7,452,30M,"100,000+",Free,0,Everyone,Entertainment,"February 2, 2018",1.0.8,4.4 And Up
C Pattern Programs Free,Family,4.5,4115,5.8M,"100,000+",Free,0,Everyone,Education,"July 8, 2018",7.1.0,4.0 And Up
C Programs Handbook,Books_And_Reference,4.0,459,3.1M,"50,000+",Free,0,Everyone,Books & Reference,"November 16, 2017",2.2.3.3,4.0 And Up
C Functions,Family,4.8,55,1.5M,"1,000+",Free,0,Everyone,Education,"September 26, 2015",1.0,4.0.3 And Up
Learn C# - .Net - C Sharp Programming Tutorial App,Family,4.0,1320,8.6M,"100,000+",Free,0,Everyone,Education,"June 3, 2018",4.1.0,4.1 And Up
Learn Basic C - For Beginners,Family,4.7,27,0.772,"5,000+",Free,0,Everyone,Education,"January 20, 2016",1.0,3.0 And Up
C Prowess,Family,4.8,306,3.3M,"5,000+",Free,0,Everyone,Education,"June 3, 2017",1.2,4.1 And Up
101 C Programming Problems,Family,4.6,498,5.0M,"50,000+",Free,0,Everyone,Education,"October 15, 2017",2.0,4.0.3 And Up
Let Us C - Example Programs,Family,4.3,36,1.1M,"5,000+",Free,0,Everyone,Education,"August 30, 2017",1.2,3.0 And Up
C Examples,Family,4.2,1002,4.4M,"10,000+",Free,0,Everyone,Education,"August 31, 2016",3.9,4.0 And Up
C Book-C Programs,Family,4.8,138,2.1M,"10,000+",Free,0,Everyone,Education,"September 22, 2017",1.0,3.0 And Up
100+ C Programs,Family,4.2,20,1.6M,"5,000+",Free,0,Everyone,Education,"January 3, 2017",1.0,4.0 And Up
D Day World War Ii Commando Survival Shooting,Game,4.2,951,64M,"100,000+",Free,0,Teen,Action,"May 25, 2018",1.2,4.1 And Up
Koi Live Wallpaper,Personalization,4.6,14026,12M,"100,000+",Paid,$0.99,Everyone,Personalization,"June 24, 2014",1.9,2.2 And Up
Mind Games Pro,Family,4.6,15301,18M,"100,000+",Paid,$2.99,Everyone,Puzzle;Brain Games,"July 18, 2018",3.0.5,2.3 And Up
Z Ringtones Premium 2018,Personalization,4.5,10158,3.6M,"500,000+",Free,0,Everyone,Personalization,"March 1, 2018",1.5,4.0.3 And Up
Broken Screen Prank,Family,3.3,23682,9.8M,"1,000,000+",Free,0,Teen,Casual,"June 14, 2018",6.2,4.0 And Up
E! News,News_And_Magazines,4.0,15443,25M,"1,000,000+",Free,0,Teen,News & Magazines,"June 19, 2018",4.2.133,4.4 And Up
Eventbrite - Discover Popular Events & Nearby Fun,Family,4.4,63773,8.8M,"5,000,000+",Free,0,Everyone,Entertainment,"July 30, 2018",5.7.2,5.0 And Up
E-Cigarette For Free,Family,3.6,1354,4.8M,"500,000+",Free,0,Mature 17+,Entertainment,"October 23, 2017",1.0,2.3 And Up
Moto Led For Moto X & E [Root],Lifestyle,3.4,4082,0.318,"500,000+",Free,0,Everyone,Lifestyle,"October 16, 2014",1.0,4.2 And Up
World History Quick E-Book,Family,4.4,1657,4.9M,"100,000+",Free,0,Everyone,Education;Education,"July 17, 2018",1.35,4.1 And Up
Greeting Cards & Wishes,Social,4.5,17350,12M,"500,000+",Free,0,Everyone,Social,"July 18, 2018",1.078,Varies With Device
Maps & Gps Navigation Osmand+,Travel_And_Local,4.3,15209,11M,"100,000+",Paid,$8.99,Everyone,Travel & Local,"August 1, 2018",Varies With Device,Varies With Device
Thescore Esports,Sports,4.5,16257,14M,"500,000+",Free,0,Everyone 10+,Sports,"February 3, 2017",2.8,4.1 And Up
Ex File Explorer File Manager,Productivity,4.0,4660,5.9M,"1,000,000+",Free,0,Everyone,Productivity,"October 6, 2016",1.0,4.0 And Up
Aab E Hayat Full Novel,Books_And_Reference,4.3,1476,41M,"100,000+",Free,0,Everyone,Books & Reference,"February 21, 2017",1.0,3.0 And Up
Ebookdroid - Pdf & Djvu Reader,Productivity,4.5,75951,11M,"5,000,000+",Free,0,Everyone,Productivity,"July 8, 2018",Varies With Device,Varies With Device
E-Num,Finance,4.0,10374,11M,"500,000+",Free,0,Everyone,Finance,"October 24, 2016",Varies With Device,Varies With Device
Synd E-Passbook,Finance,4.3,9400,6.1M,"1,000,000+",Free,0,Everyone,Finance,"May 12, 2016",1.09,2.2 And Up
F-Stop Gallery Pro,Photography,4.4,1302,0.058,"10,000+",Paid,$4.99,Everyone,Photography,"August 5, 2015",3.2,2.2 And Up
Offroad Pickup Truck F,Family,4.3,4551,79M,"500,000+",Free,0,Everyone,Simulation,"December 26, 2017",1.0,2.3 And Up
F-Stop Gallery,Photography,4.2,12726,15M,"1,000,000+",Free,0,Everyone,Photography,"July 21, 2018",4.9.18,4.1 And Up
Flashlight F.Light,Tools,4.3,3943,11M,"100,000+",Free,0,Everyone,Tools,"May 23, 2018",1.4.2,5.0 And Up
F-Secure Sense,Tools,4.6,57,13M,"5,000+",Free,0,Everyone,Tools,"July 4, 2018",1.0.988,5.0 And Up
Super Car F. Mod For Mcpe,Game,3.6,214,4.9M,"50,000+",Free,0,Everyone,Adventure,"July 19, 2018",3.0.1,4.2 And Up
F-Secure Key Password Manager,Tools,4.2,2588,7.6M,"100,000+",Free,0,Everyone,Tools,"June 27, 2018",4.7.4,4.0 And Up
Inputting Plus: Ctrl + Z/F/C/V,Productivity,4.2,1117,3.0M,"50,000+",Free,0,Everyone,Productivity,"October 18, 2017",1.0.6,5.0 And Up
Ctrl-F - Search The Real World,Productivity,4.4,607,37M,"50,000+",Free,0,Everyone,Productivity,"July 24, 2016",1.1,4.0.3 And Up
F-Secure Safe,Tools,4.3,9433,9.3M,"500,000+",Free,0,Everyone,Tools,"July 30, 2018",17.4.0014017,5.0 And Up
Mhd F-Series,Auto_And_Vehicles,4.9,73,23M,"1,000+",Free,0,Everyone,Auto & Vehicles,"June 5, 2018",Version 0.994,3.2 And Up
F-Secure Av Test,Tools,4.5,1250,0.241,"50,000+",Free,0,Everyone,Tools,"March 6, 2018",1.0.1,4.0.3 And Up
F-Secure Mobile Security,Tools,4.2,13096,9.2M,"500,000+",Free,0,Everyone,Tools,"July 30, 2018",17.4.0014017,5.0 And Up
F'East,Lifestyle,3.8,38,4.8M,"5,000+",Free,0,Everyone,Lifestyle,"April 17, 2018",2.6.3,4.0 And Up
Humorcast - Authentic Weather,Weather,4.4,6495,40M,"100,000+",Free,0,Teen,Weather,"July 12, 2018",4.4.4,4.4 And Up
F & M Mobile Banking,Finance,4.0,43,13M,"5,000+",Free,0,Everyone,Finance,"February 20, 2018",4.5.0,4.0 And Up
F,Tools,4.3,6,4.9M,500+,Free,0,Everyone,Tools,"May 15, 2018",1.0.2,4.0 And Up
Rpg End Of Aspiration F,Family,4.4,20368,31M,"500,000+",Free,0,Teen,Role Playing,"December 15, 2016",3.0.0Fr,2.3 And Up
F-Sim Space Shuttle,Family,4.4,5427,11M,"100,000+",Paid,$4.99,Everyone,Simulation,"January 28, 2014",Varies With Device,Varies With Device
Weather Live,Weather,4.5,76593,11M,"500,000+",Paid,$5.99,Everyone,Weather,"November 21, 2017",Varies With Device,Varies With Device
Norwegian For Kids & Babies F,Family,4.3,0,14M,5+,Paid,$39.99,Everyone,Education,"September 24, 2015",1.0,4.0 And Up
R+F Pulse,Business,3.4,58,3.0M,"10,000+",Free,0,Everyone,Business,"April 21, 2017",1.0,4.4 And Up
F-Secure Freedome For Business,Business,3.8,183,9.9M,"50,000+",Free,0,Everyone,Business,"July 16, 2018",2.5.1.7594.Psb,4.0.3 And Up
F-1 Watchface By Delta,Personalization,4.3,0,11M,10+,Paid,$2.49,Everyone,Personalization,"August 23, 2017",Varies With Device,Varies With Device
"F.Lux (Preview, Root-Only)",Health_And_Fitness,3.7,5559,3.7M,"500,000+",Free,0,Everyone,Health & Fitness,"March 15, 2016",22.0,4.0.3 And Up
F Length Sim (No Ads),Photography,4.3,0,1.7M,10+,Paid,$2.00,Everyone,Photography,"April 29, 2018",1.0,4.0.3 And Up
Arto: F.Infrared Photo,Photography,4.1,41,11M,500+,Paid,$1.49,Everyone,Photography,"July 19, 2016",3.1,4.4 And Up
Convert Degree Celsius To Fahrenheit Or °F To °C,Tools,4.4,51,2.1M,"5,000+",Free,0,Everyone,Tools,"May 21, 2018",1.5.8,4.0 And Up
F-Gas Solutions,Business,4.2,127,1.4M,"10,000+",Free,0,Everyone,Business,"October 7, 2016",2.1.3,4.0 And Up
Offroad Car G,Family,4.3,64884,37M,"5,000,000+",Free,0,Everyone,Simulation,"July 12, 2016",1,2.3.3 And Up
Rolling G Sky,Game,3.6,2065,25M,"100,000+",Free,0,Everyone,Adventure,"January 25, 2017",1.0,2.3.3 And Up
G-Switch 2,Game,4.4,12683,19M,"1,000,000+",Free,0,Everyone,Action,"February 5, 2018",1.1,2.3 And Up
G-Switch 3,Game,4.6,3656,39M,"100,000+",Free,0,Everyone,Action,"March 15, 2018",1.1.3,3.0 And Up
G Cloud Apps Backup Key * Root,Tools,4.5,1034,0.196,"5,000+",Paid,$4.99,Everyone,Tools,"September 8, 2013",1.1,2.2 And Up
Share G - Images Sharing - Wallpapers App,Social,4.4,120,2.3M,"10,000+",Free,0,Teen,Social,"October 5, 2017",1.0,4.0.3 And Up
Next Launcher 3D Theme Hit-G,Personalization,4.2,59,8.1M,"1,000+",Paid,$1.70,Everyone,Personalization,"August 16, 2015",1.05,2.2 And Up
G-Switch,Game,3.8,4116,8.8M,"100,000+",Free,0,Everyone,Action,"September 1, 2015",1.3.4,2.3 And Up
Offroad G-Class 2018,Family,4.4,7715,28M,"500,000+",Free,0,Everyone,Simulation,"June 29, 2018",1.7,4.1 And Up
Ramfer - Cnc Lathe G-Code Tool,Productivity,3.4,5,11M,100+,Paid,$2.99,Everyone,Productivity,"September 26, 2016",2,3.2 And Up
G-Force Driving Assistant,Sports,4.6,10,6.1M,100+,Paid,$3.88,Everyone,Sports,"April 10, 2013",1.0,2.3.3 And Up
My G:,Maps_And_Navigation,3.7,96,14M,"10,000+",Free,0,Everyone,Maps & Navigation,"November 14, 2017",1.4.0,4.1 And Up
Go,Personalization,4.6,89,11M,"5,000+",Paid,$0.99,Everyone,Personalization,"October 21, 2017",1.6.1,4.0.3 And Up
G-Nettrack Pro,Tools,4.3,255,1.6M,"5,000+",Paid,$14.99,Everyone,Tools,"July 25, 2018",14.6,4.0 And Up
"G Theme 2 For Lg V30, Lg G6",Personalization,4.3,25,15M,500+,Paid,$1.49,Everyone,Personalization,"December 13, 2017",1.0.2,7.0 And Up
Speedometer With G-Force Meter,Tools,3.8,415,2.7M,"50,000+",Free,0,Everyone,Tools,"June 1, 2017",7.0,2.3 And Up
A41 Watchface For Android Wear Smart Watch,Lifestyle,4.5,231,5.7M,"5,000+",Paid,$0.99,Everyone,Lifestyle,"December 24, 2017",7.0.1,4.3 And Up
Radial-G : Infinity,Game,3.6,517,47M,"50,000+",Free,0,Everyone,Arcade,"December 7, 2015",1.4,4.1 And Up
G-Netreport Pro,Tools,4.3,0,1.6M,10+,Paid,$25.99,Everyone,Tools,"June 14, 2018",5.0,4.0 And Up
Dialer Theme G Black Gold,Personalization,4.2,33,0.857,500+,Paid,$1.49,Everyone,Personalization,"January 1, 2016",2.0,4.0 And Up
G-Remote,House_And_Home,4.5,30,25M,"1,000+",Free,0,Everyone,House & Home,"August 1, 2018",2.4,4.0.3 And Up
Car G-Force Meter,Tools,4.2,184,1.3M,"10,000+",Free,0,Everyone,Tools,"July 29, 2017",2.23,4.0 And Up
G-Netwifi Pro,Tools,3.3,6,1.5M,100+,Paid,$5.99,Everyone,Tools,"June 18, 2018",3.2,4.0 And Up
Offroad Car H,Family,4.2,1960,87M,"100,000+",Free,0,Everyone,Simulation,"October 6, 2017",1.4,2.3 And Up
Guns - Shot Sounds,Family,3.8,29544,10M,"10,000,000+",Free,0,Everyone,Entertainment,"July 25, 2018",3.15,4.0 And Up
Dns Changer - Best (Gprs/Edge/3G/H/H+/4G),Tools,4.3,123,1.9M,"5,000+",Free,0,Everyone,Tools,"September 30, 2017",1.2,4.0 And Up
H*Nest Meditation,Lifestyle,4.9,145,48M,"5,000+",Paid,$1.99,Mature 17+,Lifestyle,"April 7, 2016",1.0,4.0.3 And Up
Car Driving Simulator Drift,Game,4.4,19816,57M,"1,000,000+",Free,0,Everyone,Racing,"November 3, 2017",1.8.1,4.4 And Up
Deaf - Hearing Chat Device H,Communication,4.4,9,0.051,500+,Paid,$3.99,Everyone,Communication,"February 8, 2017",3.6,2.2 And Up
صور حرف H,Art_And_Design,4.4,13,4.5M,"1,000+",Free,0,Everyone,Art & Design,"March 27, 2018",2.0,4.0.3 And Up
H!Look - Dating,Dating,4.2,46,26M,"10,000+",Free,0,Mature 17+,Dating,"July 29, 2018",2.1.6,5.0 And Up
H-Connect,Health_And_Fitness,4.0,50,15M,"5,000+",Free,0,Everyone,Health & Fitness,"July 3, 2018",2.14,4.4 And Up
Most Expensive App (H),Family,4.3,6,1.5M,100+,Paid,$399.99,Everyone,Entertainment,"July 16, 2018",1.0,7.0 And Up
Antennapict Β,Communication,4.3,15439,2.2M,"1,000,000+",Free,0,Everyone,Communication,"November 7, 2016",2.0.0,2.3 And Up
Elkhart County 4-H Fair,Family,3.9,38,42M,"5,000+",Free,0,Everyone,Entertainment,"April 6, 2018",5055.524.5,4.1 And Up
H Letter Images,Social,4.3,17,8.5M,"1,000+",Free,0,Teen,Social,"June 28, 2018",16.7,4.0.3 And Up
H Band,Health_And_Fitness,4.0,214,8.9M,"10,000+",Free,0,Everyone,Health & Fitness,"June 13, 2018",3.0.2,4.4 And Up
The World Ends With You,Game,4.6,4108,13M,"10,000+",Paid,$17.99,Everyone 10+,Arcade,"December 14, 2015",1.0.4,4.0 And Up
Mjx H,Family,3.7,126,13M,"10,000+",Free,0,Everyone,Entertainment,"August 22, 2017",1.0-Build20170819,4.1 And Up
Tinycam Monitor Free,House_And_Home,4.0,65914,11M,"10,000,000+",Free,0,Everyone,House & Home,"June 29, 2018",Varies With Device,Varies With Device
H-Kakashi - Theme Xperia™,Personalization,4.6,621,5.4M,"50,000+",Free,0,Everyone,Personalization,"December 1, 2017",A.2,4.4 And Up
Rc City Police Heavy Traffic Racer,Game,4.4,3250,27M,"1,000,000+",Free,0,Everyone,Racing,"July 19, 2018",1.2,4.0 And Up
"Alphabet ""H"" Passcode Lock Screen",Personalization,4.5,2,3.0M,100+,Free,0,Everyone,Personalization,"December 21, 2017",1.0,4.1 And Up
Add-On: Alcatel (H),Productivity,4.5,107,1.2M,"50,000+",Free,0,Everyone,Productivity,"May 19, 2015",10.0.3148,4.0 And Up
My Android Device S/W & H/W,Family,4.5,681,2.8M,"50,000+",Free,0,Everyone,Education,"November 20, 2015",1.1,2.3 And Up
Admiralty H-Note,Business,4.5,176,19M,"10,000+",Free,0,Everyone,Business,"October 25, 2016",2.0,5.0 And Up
Force Lte Only,Tools,4.1,10426,7.2M,"1,000,000+",Free,0,Everyone,Tools,"February 4, 2018",1.4,4.0 And Up
Ulysse Speedometer Pro,Auto_And_Vehicles,4.6,4140,11M,"50,000+",Paid,$1.99,Everyone,Auto & Vehicles,"May 13, 2018",Varies With Device,Varies With Device
D+H Reaction Wall,Game,4.3,0,11M,1+,Paid,$0.99,Everyone,Arcade,"July 24, 2016",Varies With Device,Varies With Device
Helix,Game,3.9,2454,37M,"500,000+",Free,0,Everyone,Arcade,"September 10, 2017",1.2,4.0 And Up
Mobile Number Tracker,Tools,3.9,19758,2.9M,"5,000,000+",Free,0,Everyone,Tools,"January 14, 2018",2.7,4.0 And Up
I Am Nose Doctor -Save My Nose,Family,4.2,3133,34M,"500,000+",Free,0,Everyone,Casual,"January 4, 2016",1.1.1,3.1 And Up
What Was I In My Past Life,Family,3.7,7453,6.5M,"1,000,000+",Free,0,Everyone,Entertainment,"December 19, 2017",2.1,4.1 And Up
I Screen Dialer,Tools,4.1,8137,3.9M,"1,000,000+",Free,0,Everyone,Tools,"February 25, 2018",1.11,4.3 And Up
I'M Ping Pong King :),Sports,4.4,29864,40M,"1,000,000+",Free,0,Everyone,Sports,"July 26, 2018",2.5,4.1 And Up
Instachat 😜,Social,4.0,80987,25M,"5,000,000+",Free,0,Teen,Social,"July 30, 2018",2.2.4,4.4 And Up
J Touch,Tools,4.6,2176,0.953,"100,000+",Free,0,Everyone,Tools,"August 1, 2018",1.5.1-Gp,4.1 And Up
J-Novel Club,Family,3.3,162,9.0M,"10,000+",Free,0,Teen,Entertainment,"October 22, 2017",1.2,4.1 And Up
Cook Baked Lasagna,Family,4.2,56259,23M,"10,000,000+",Free,0,Everyone,Casual,"March 14, 2018",4.0,4.0 And Up
The J-Notes: Jazz News,Sports,4.3,7,7.2M,"1,000+",Free,0,Everyone 10+,Sports,"February 28, 2018",5.2.2,4.1 And Up
J-Ufo,Family,3.5,339,11M,"100,000+",Free,0,Everyone,Entertainment,"December 12, 2017",Varies With Device,4.0.3 And Up
Cut The Rope Gold,Family,4.6,61264,43M,"1,000,000+",Paid,$0.99,Everyone,Puzzle,"June 19, 2018",3.7.0,4.1 And Up
J. Cole Rapper Wallpaper Hd,Personalization,4.1,8,3.1M,"1,000+",Free,0,Everyone,Personalization,"January 11, 2018",1.0,4.1 And Up
Keyboard For Sony Xperia J,Personalization,4.1,797,6.7M,"50,000+",Free,0,Everyone,Personalization,"July 29, 2018",1.279.13.98,4.0.3 And Up
J Alvarej Moji,Communication,4.3,2,13M,10+,Paid,$1.99,Everyone,Communication,"May 3, 2017",1.0,3.2 And Up
Harris J Lyrics,Family,4.7,36,7.1M,"1,000+",Free,0,Everyone,Entertainment,"March 12, 2018",1.3,4.0.3 And Up
Smart Tv Remote,Tools,3.5,81747,9.1M,"10,000,000+",Free,0,Everyone,Tools,"May 26, 2018",3.8.2,4.1 And Up
J.Me Fly,Family,3.9,28,98M,"1,000+",Free,0,Everyone,Entertainment,"May 31, 2018",0.4.4,4.4 And Up
J Balvin Piano Tiles,Game,4.3,6,30M,500+,Free,0,Everyone,Music,"May 15, 2018",2.0,4.1 And Up
Guess The Song Of J Balvin,Game,4.3,28,8.9M,"1,000+",Free,0,Everyone,Trivia,"December 24, 2017",1.1,4.1 And Up
J-Stars Victory Vs Guide,Game,4.1,609,13M,"10,000+",Free,0,Everyone,Action,"May 14, 2014",1.7,2.2 And Up
2048 Bts J Hope Kpop Puzzle Game,Family,4.7,17,2.4M,"1,000+",Free,0,Everyone,Puzzle,"September 26, 2017",1,2.3.3 And Up
J. Polep Plus Mobile,Productivity,4.3,0,44M,100+,Free,0,Everyone,Productivity,"March 26, 2018",1.1.4,5.0 And Up
J. Cole Albums (2007-2017),Family,4.6,7,7.3M,"1,000+",Free,0,Mature 17+,Entertainment,"April 11, 2018",1.3,4.0.3 And Up
J Dark Ice Substratum Theme,Personalization,4.5,164,33M,"10,000+",Free,0,Everyone,Personalization,"July 19, 2018",4.3,6.0 And Up
Bts J-Hope Wallpaper Kpop Fans Hd,Personalization,4.7,98,3.4M,"10,000+",Free,0,Everyone,Personalization,"May 19, 2018",1.1.1,4.0 And Up
Bts J-Hope Line Launcher Theme,Personalization,4.9,934,3.8M,"10,000+",Free,0,Everyone,Personalization,"October 17, 2014",4.1,4.0.3 And Up
Bts J-Hope Wallpaper Hd For Kpop Fans,Personalization,4.3,4,3.6M,500+,Free,0,Everyone,Personalization,"July 26, 2018",2.1.4,4.0 And Up
K Health,Health_And_Fitness,4.1,290,40M,"50,000+",Free,0,Teen,Health & Fitness,"July 22, 2018",1.7.2992,4.1 And Up
Circle K,Shopping,4.4,9140,14M,"500,000+",Free,0,Everyone,Shopping,"July 31, 2018",5.9.0,4.4 And Up
K-@ Mail Pro - Email App,Communication,4.2,1603,11M,"10,000+",Paid,$4.99,Everyone,Communication,"July 23, 2016",Varies With Device,Varies With Device
K-@ Mail - Email App,Communication,4.1,1760,11M,"100,000+",Free,0,Everyone,Communication,"July 23, 2016",Varies With Device,Varies With Device
Sight Words Pre-K To Grade-3,Family,4.4,1185,40M,"100,000+",Free,0,Everyone,Educational;Education,"June 17, 2018",1.5.1,4.1 And Up
[Substratum] K-Manager For K-Klock,Personalization,4.5,14,11M,"1,000+",Free,0,Everyone,Personalization,"July 31, 2018",31,7.0 And Up
Kdrama Amino For K-Drama Fans,Social,4.6,4046,63M,"100,000+",Free,0,Teen,Social,"July 13, 2018",1.8.19106,4.0.3 And Up
K Keyboard - Myanmar,Tools,4.8,1955,14M,"100,000+",Free,0,Everyone,Tools,"March 17, 2018",1.0.8,4.1 And Up
Zapzapmath: K-6 Math Games,Family,4.3,1065,61M,"100,000+",Free,0,Everyone,Educational;Education,"May 13, 2018",4.1.10,4.1 And Up
Kpop Amino For K-Pop Entertainment,Social,4.8,19047,63M,"100,000+",Free,0,Teen,Social,"July 13, 2018",1.8.19106,4.0.3 And Up
K.Moji,Family,4.8,16,8.9M,500+,Paid,$1.99,Everyone,Entertainment,"May 9, 2017",1.0,4.2 And Up
K-Chiing Vpn (Free),Tools,3.7,43,10M,"5,000+",Free,0,Mature 17+,Tools,"July 24, 2018",2.1.2,4.1 And Up
Preschool All-In-One,Family,4.1,9019,44M,"1,000,000+",Free,0,Everyone,Casual;Education,"March 28, 2018",6.6,4.0 And Up
Ost),Family,3.7,4444,10M,"500,000+",Free,0,Everyone,Entertainment,"July 6, 2018",3.0.12,4.1 And Up
Kpop Music Quiz (K-Pop Game),Family,4.2,6418,59M,"100,000+",Free,0,Everyone,Casual,"May 8, 2017",1.3,4.1 And Up
Radio K - Kuom,Family,4.5,39,7.4M,"1,000+",Free,0,Everyone,Entertainment,"March 9, 2018",3.0.57,4.1 And Up
Math Games For Pre-K - Grade 4,Family,4.6,28,23M,"1,000+",Paid,$1.99,Everyone,Education;Education,"January 13, 2014",1.02,2.2 And Up
Speech Therapy: K,Family,4.3,2,15M,"1,000+",Free,0,Everyone,Education,"October 7, 2016",1.0,2.3.3 And Up
K-Otic Universe,Family,4.9,55,40M,"1,000+",Free,0,Everyone,Puzzle,"August 3, 2018",108,4.1 And Up
Magic Tiles - Twice Edition (K-Pop),Game,4.4,2351,62M,"100,000+",Free,0,Everyone,Music,"July 25, 2018",1009001,4.0 And Up
Case K-12 Math English Science,Family,4.6,60,2.1M,"10,000+",Free,0,Everyone,Education,"May 1, 2016",1.0,2.2 And Up
Mermaid Princess Pre K Games,Family,4.3,19,31M,"5,000+",Free,0,Everyone,Educational;Education,"June 29, 2018",3.01,4.1 And Up
K-App Mitarbeiter Galeria Kaufhof,Productivity,4.3,0,19M,100+,Free,0,Everyone,Productivity,"July 10, 2018",3.27.1,4.4 And Up
"Niche: College, K-12, And Neighborhood Search",Lifestyle,4.0,42,26M,"5,000+",Free,0,Everyone,Lifestyle,"July 6, 2018",1.0.1,4.4 And Up
"K-Spapp, The K-Space App",Family,4.8,39,3.6M,"1,000+",Free,0,Everyone,Education,"February 9, 2017",1.53,4.0.3 And Up
"Math Quiz Free: Grades K,1,2,3",Family,4.3,159,13M,"10,000+",Free,0,Everyone,Education;Education,"February 3, 2015",1.0,4.0 And Up
K-9 Material (Unofficial),Communication,4.4,64,4.5M,"5,000+",Free,0,Teen,Communication,"March 27, 2017",5.206,5.0 And Up
Discovery K!Ds Play! Español,Family,4.2,11263,35M,"1,000,000+",Free,0,Everyone,Entertainment;Music & Video,"May 3, 2018",2.1.0.2173,4.0.3 And Up
Magic Tiles - Blackpink Edition (K-Pop),Game,4.6,4304,71M,"100,000+",Free,0,Everyone,Music,"June 20, 2018",1900001,4.0 And Up
Wallpapers Bus Scania Irizar K,Personalization,4.3,35,15M,"10,000+",Free,0,Teen,Personalization,"April 21, 2016",1.0,2.3.3 And Up
Anna.K Tarot,Family,4.8,17,23M,100+,Paid,$3.99,Mature 17+,Entertainment,"January 16, 2017",1.4.4,4.0.3 And Up
K-Pop Music,Family,4.0,369,3.5M,"10,000+",Free,0,Everyone,Entertainment,"January 11, 2017",2.0.0,2.3 And Up
Daily K-Talk,Family,4.3,264,60M,"10,000+",Free,0,Everyone,Education,"July 31, 2018",V8[1.0.10],2.3 And Up
Korean Dungeon: K-Word 1000,Game,4.7,703,40M,"10,000+",Free,0,Everyone 10+,Word,"November 17, 2017",1.0.4,4.1 And Up
"L.Point - 엘포인트 [ 포인트, 멤버십, 적립, 사용, 모바일 카드, 쿠폰, 롯데]",Lifestyle,4.0,45224,49M,"5,000,000+",Free,0,Everyone,Lifestyle,"August 1, 2018",6.5.1,4.1 And Up
"Messenger L Sms, Mms",Personalization,4.0,6263,20M,"500,000+",Free,0,Everyone,Personalization,"July 12, 2018",7.46,2.3 And Up
Exo-L,Family,4.6,67410,0.865,"1,000,000+",Free,0,Everyone,Entertainment,"November 2, 2017",1.0.9,2.2 And Up
Exo-L Amino For Exo Fans,Social,4.9,5677,67M,"50,000+",Free,0,Teen,Social,"July 13, 2018",1.8.19106,4.0.3 And Up
Calculator L,Productivity,4.5,2965,2.4M,"100,000+",Free,0,Everyone,Productivity,"May 10, 2015",1.1.3,4.3 And Up
Emoji Android L Keyboard,Productivity,4.0,11535,6.8M,"1,000,000+",Free,0,Everyone,Productivity,"December 7, 2017",1.42,4.0 And Up
Lollipop Keyboard L Pro,Personalization,3.6,5525,2.6M,"500,000+",Free,0,Everyone,Personalization,"June 6, 2016",1.6,2.3 And Up
French To English Speaking - Apprendre L' Anglais,Family,4.5,4251,13M,"1,000,000+",Free,0,Everyone,Education,"April 27, 2018",23.0,4.0.3 And Up
Clock L,Personalization,3.9,2852,5.4M,"100,000+",Free,0,Everyone,Personalization,"September 7, 2015",1.3,4.0 And Up
Dialer Theme Droid L,Personalization,4.3,1734,2.8M,"100,000+",Free,0,Mature 17+,Personalization,"April 2, 2016",4.0,4.0.3 And Up
Speed L,Shopping,4.3,85,2.9M,"50,000+",Free,0,Everyone,Shopping,"June 26, 2018",1.24,4.4 And Up
Je Parle Anglais - Apprendre L’Anglais Audio Cours,Family,4.4,499,27M,"100,000+",Free,0,Everyone,Education,"March 13, 2018",2.4,4.0.3 And Up
Maplestory M,Family,3.5,31538,82M,"1,000,000+",Free,0,Everyone 10+,Role Playing,"July 24, 2018",1.2703.273,4.4 And Up
M-Files,Business,4.4,236,44M,"10,000+",Free,0,Everyone,Business,"June 26, 2018",3.1.1,4.4 And Up
M Launcher -Marshmallow 6.0,Personalization,4.4,37234,7.3M,"1,000,000+",Free,0,Everyone,Personalization,"March 22, 2018",1.4.9,4.1 And Up
"Mobizen Screen Recorder For Lg - Record, Capture",Video_Players,4.5,58820,37M,"1,000,000+",Free,0,Everyone,Video Players & Editors,"April 26, 2018",3.5.1.8,4.4 And Up
M3-X5-X6-M-İ3-İ8 Raci̇ng 2018,Game,4.4,596,44M,"100,000+",Free,0,Everyone,Arcade,"February 12, 2017","1,01",4.0 And Up
360-M Flight,Tools,3.9,84,24M,"10,000+",Free,0,Everyone,Tools,"December 14, 2017",2.18,4.0.3 And Up
M-Acceleration 3D Car Racing,Game,3.9,1202,34M,"100,000+",Free,0,Everyone,Racing,"June 28, 2018",1.6,4.1 And Up
M>Notes Notepad,Productivity,4.3,184,11M,"1,000+",Paid,$2.99,Everyone,Productivity,"December 4, 2015",Varies With Device,2.2 And Up
M+,News_And_Magazines,4.9,198,9.1M,"10,000+",Free,0,Everyone,News & Magazines,"May 29, 2018",3.2.2,5.0 And Up
